FID,Species,Longitude,Latitude,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,potveg
46,L_maackii,109.629918,31.370137,13.77692484,7.633363217,25.85340909,792.0091866,27.95596196,-1.565652236,29.5216142,22.78302032,3.78280714,23.37329446,3.78280714,1238.093353,206.83288,18.34439377,63.66788179,530.0397813,65.51811377,526.9677351,65.51811377,7
47,L_maackii,119.823343,31.375019,15.92498734,8.153400102,24.49927958,909.2526031,32.48016164,-0.800000012,33.28016165,26.92674375,11.60996494,26.92674375,4.583333264,1123.9662,176.2024933,39.59150664,51.32665217,482.40224,132.3836799,482.40224,154.7717866,4
48,L_maackii,110.783718,31.331599,14.93973376,8.785461399,27.58959309,830.8362667,30.237317,-1.604833274,31.84215027,24.96321601,4.394319928,24.96321601,4.394319928,1121.19084,202.1889064,16.39702636,65.9361202,504.2201982,58.23723908,504.2201982,58.23723908,5
49,L_maackii,121.383562,31.261549,16.39512217,6.890480409,22.56314336,860.4684783,31.73858817,1.200000048,30.53858813,26.63361457,9.879953836,26.63361457,5.651195439,1055.713508,162.7274685,44.12393709,49.77573471,451.2832284,138.1867313,451.2832284,146.5620227,13
50,L_maackii,121.648597,31.249433,16.24021014,7.238109369,23.71402111,847.4949576,32,1.477505516,30.52249448,26.36947275,8.158034656,26.38333321,5.742501914,1013.935539,158.2249448,37.06804,52.74688547,419.4613448,117.13608,406.1551048,129.20412,6
51,L_maackii,112.569426,31.154774,16.49636733,8.550980772,26.00910187,886.996007,32.50959985,-0.366888008,32.87648786,25.17062388,5.217360426,27.08729051,5.217360426,1002.191188,181.47688,19.38318797,59.23685671,438.618308,75.38318797,434.095188,75.38318797,6
52,L_maackii,109.87945,31.114073,16.70822354,7.298993987,24.85852053,804.0799983,30.58893223,1.227931795,29.36100044,26.4243872,6.52660183,26.4243872,6.52660183,1231.521533,215.8966065,19.31124,65.14778871,545.1717686,66.76751784,545.1717686,66.76751784,12
53,L_maackii,111.261345,30.966552,14.93796034,8.92230496,28.01951945,821.4631848,30.12288922,-1.719797263,31.84268649,24.84341658,4.508081612,24.84341658,4.508081612,1133.957303,201.2821729,18.28217286,64.31781364,513.0632243,67.22052,513.0632243,67.22052,7
54,L_maackii,110.340757,31.042327,15.45780434,7.651944697,25.62920286,806.2601187,29.64214108,-0.213513977,29.85565506,25.20431584,5.26653473,25.20431584,5.26653473,1215.017899,212.5825298,21.17110032,64.31099837,541.3707895,70.16245048,541.3707895,70.16245048,6
55,L_maackii,110.717361,30.876141,11.47369659,7.002672192,24.29546809,783.3877675,25.62611515,-3.195520968,28.82163611,20.99785203,1.642405698,20.99785203,1.642405698,1339.85183,213.8516718,26.51732817,59.80287095,573.2101054,88.4264727,573.2101054,88.4264727,5
56,L_maackii,115.399242,30.78311,16.82745011,9.103831235,26.92521922,896.2288672,33.70909662,-0.102436229,33.81153285,25.45155673,7.319292795,27.51781729,5.452626016,1384.10152,250.0024377,30,61.05229777,636.1063955,123,617.1681177,127,7
57,L_maackii,115.681453,30.735298,16.69756186,9.243769653,27.2064128,894.672252,33.58174244,-0.394680318,33.97642276,25.29533351,7.171145288,27.37203203,5.324905976,1446.90256,275.9366831,32,62.8727893,666.6136031,125.4082031,661.3107631,131.4082031,6
